sentiment,content
happiness,"Looks like a beautiful day...and I am off work til Sunday, yay!! No bbq as yet though, gonna have to postpone my invitations"
sadness,This is California it has to be sunny... But its not ::::: makes me kinda sad
happiness,"time to do some revision while listening to @direngrey albums non-stop all day, again!"
happiness,@LiveInLove10 YES!!! haahaaa.! break out the jellybeaniesss!
happiness,"@tonibrockliss fyi, connie and carla is not as totally awesome as the previews make it seem  sorry about that one."
sadness,"@jaycool2k I do want to go for Peaches... but also Miss Kittin, pendulum, chase&amp;status and the bloody beetroots! its not fair"
sadness,I think I'm about to break my own heart. (as emo as that sounds)... meh.
happiness,@sunshineangel89 Yeah..  Of course next time. ;) ICQ?
sadness,epic fail with the chocolate fountain that got CLOGGED
happiness,cleaning day!
sadness,@hannahxmakeup my stupid putet won't let me go to your chat
happiness,@SpinachPuffs yeeeeah . . . and it was in into too  seen Empire top 100 computer games? http://www.empireonline.com/100greatestgames/
happiness,watching greys anatomy and just about to take blueberry muffins out of the oven mmm yummy  finished geoggers study notes yay!!
happiness,loves John Mayer's updates.  And modeling in the hot sun... and being sweaty... jk. But seriously...
happiness,@PANICitsLeslie Aww that's still awesome. You had fun though I can assume.
sadness,why must the weather b so nice and then so bad all in 1 minute
happiness,@antsrants it's driving me insane!  all i want is a lie in!!!
happiness,"@Tam98 just looked at your page and realised it was a radio show, get them to play Call It What You Want so love that track"
happiness,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part
happiness,@janevans35 LOL I love my MacBook too. Oh and my iMac. Can't decide which I love more. OK 24&quot; iMac trumps 13&quot; MacBook
happiness,"@philritchie Boom, and if you will, boom! Saw the movie last night - really enjoyed it"
sadness,"@LexieLovesgreys well sadly I live in the most boring city in the USA, so there is nothing to do here."
sadness,Bored and lonely at work
sadness,"@howardlindzon You're such a kiss ass   Looking forward to central, mountain and pacific mother's day tweets.  Don't forget about PEI"
sadness,http://twitpic.com/670rw - i miss my puppy
sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
sadness,"My cable signal is all messed up!!! I'm missing Ghostwhisperer  In other news I have hurt my toe and have a cold, in like hot weather!!!!"
sadness,@JonathanRKnight without ur tweets i feel lost hit me with something
happiness,@YousifMind good morning  3asa mo bs important classes ? :p
sadness,Everythings Sooo Messed Up!!!!!!! Life Sucks!!!!!!!!!!
sadness,@acmaurer No wonder I didn't get into Urbana
happiness,@flahmanow  nï¿½o te vi onteeeeeeem
happiness,"Going home to enjoy what is left of the day - I can't believe how quickly this week flew by, no time for tweets"
happiness,Just finished my 1st new song !!!  Soon on Youtube !  Keeping you updated !
happiness,@iFelixGonzalez really?!?! It looks like its going to rain here but its all just gray.... La is a bummer sumtimes
sadness,Damn fallout 3 is a hard game
sadness,can't wait to see marco later; not feeling my best
sadness,Conference call with HP.  They gave me an invalid pass code so I can't attend
sadness,@pawstoupdate that breaks my heart
sadness,Just a couple thoughts....was bored this morning
sadness,Going to miss my roomie @Staycy... We will no longer be roomies starting tomorrow
sadness,@girlx they're at the bottom of the thing and aren't moving at all. feels bad man.
sadness,following @twittbitch 'cause @gerhemi ordered it
sadness,all dressed up and no where to go...
happiness,@Samiyusuf : Sir ! Everything Will Be Great InShaa'Allah
sadness,So many farewell parties! sad to see people leaving ..
sadness,"@stii no, it makes you realise how doomed humanity in USA is"
sadness,Not good news  Time for an incredibly hard decision.
happiness,I love the sunshine and the happiness it brings
happiness,The voice of Nemo turns 15 today. Thanks #NPR
sadness,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
sadness,My cat died of kidney failure during my math test  This day needs to get better.
sadness,"Getting used to getting up in the cold, but my asthma is paying for it."
sadness,Well rite i gt a headache
happiness,Such a beautiful day. I just wish I had the energy to enjoy it.
sadness,I got up early to pay bills. I figured its like a bandaid if I get it over quickly it won't be so bad... I was wrong
sadness,I guess you're not talking about Orlando Magic @whoiskenan! There was nothing magical about it
happiness,My phone is ultra fast now with all the latest firmware updates installed!
happiness,I need a bear hug  and Im going to camp today!!
happiness,@menchuly it's Friday and sweldo day too
sadness,"@ederyn Just bad day. T_____T Gyah. No car, baby-client is teething and miserable, I forgot to pack a lunch, and I has to get a new car."
happiness,"alkaline trio was sweet, saves the day sucked.  but i had a great time anyways.  it was awesome seeing everybody and hangin out"
sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
happiness,I had fun at Daisy's Mexican Fiesta .
sadness,"@DamienCripps Awesome  Such a shame though Mark who was the Fiddle player died last month, Fab Version of Good Riddance (i have the album)"
sadness,wishing I got fij
happiness,"cant contain myself, tooooooo excited"
sadness,@Farctum Oh poor thing  Hope it's easily sorted out. (and not too expensive!)
happiness,@ce_ci ewww poor you  wish you all the best! thank God there is Rolland Garros this month isn't?! ;P
sadness,@llcooljew Poor dear. Your fellow busty mavens have been there.  What gym do you belong to? PEAC?
sadness,"i just saw a baby dove fall from a tree, break its neck and die  i tried to save it and couldnt. what a cruel world"
happiness,good morning everyone
happiness,@shayMonkey I'm comin wit u!!
sadness,Is miserable  i feel like im gona cry  sux!
happiness,On my way to the burial
sadness,@robo__rob IKR. but i hate the lack of troyella  ggmow always makes me so sad
sadness,I can't sleep without him nearby
happiness,"tried oprahs free unfried kfc and loved it  i went back for another try and topped it with boba and wolverine.Chilled with pope,dave,ben"
happiness,"? Polly Scattergood's new single out today! Download the Please Don't Touch EP on iTunes, it's ace!  http://tr.im/kpK8"
happiness,@Alyssa_Milano Good Morning Alyssa!! Hope u have a great wonderful day today   im happy cuz today is my last day of classes!! Yay!!
sadness,likes being friends but it hurts when u love your friend but the feelings arent the same. trying to sleep. has to really try to give up.
sadness,@Syreeta306 girl u sit ya double decker neck ass DOWN and talk about ppl who are on ur LEVEL and not above
sadness,thanks so much for the discount code. looking forward to trying your pads out
sadness,"&quot;I only think of you as breaking my heart, I'm trying to keep it together but I'm falling apart.&quot;"
happiness,@barbsaka I love finding regional groups of Twitterers! Glad I could connect you with a few new people
happiness,is off to work ... still &quot;recovering&quot; from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??
happiness,Went to mikey's cousin's wedding. His mom caught the bouquet.
happiness,"@bumblebeex0 yeah the freedom is awesome, it's great being a little more independent"
happiness,"@MichaelSmith22 lol, wen my mum used to take me as a kid, i wud always eat the bread instead! haha."
happiness,haha i just watch a funny ass video on youtube  made my day
happiness,http://twitpic.com/4w6lf - BBQ time again.
happiness,hahahahah i woke up at 9 today.. totally missed lecture and the quiz  open lab was useless. chipotle w/ silvera and jenny was greeat 8D
sadness,can't believe I'm leaving this place tomorrow.
happiness,@CloverandBee YEA!! Way to go! Super excited for a great Midwest resource!!! Midwest pride!
happiness,@svickn G'morning! Good to know you're alive and well today!
sadness,@TraceeEllisRoss no not at all. I MISS GIRLFRIENDS!!!!  i have all the seasons.
happiness,Having dinner at Jiuliani's with family YUM!!!
happiness,eating truffles  yum!
happiness,@mumphlett  a good girl nevah tells hahahahaha! hope you had a good weekend
sadness,"@mmitchelldaviss mitchell i tryed to add you on xbox live lastnight during when i was in your live show, but your friends list is full"
sadness,I shrunk my favourite cardigan.  Hubby said he'd buy me a new one. I practically lived in it and it's gone. I shall say a few words ;)
sadness,Hitting up a bar or two most people being lame tonight
happiness,I'm feeling higher than Mt Everest
sadness,I fought Jered to the death to avoid a wet willy.. but he got me anyway.  Q is coming over.. bike ride?
happiness,"@DavidArchie Hey David, I'm wondering if you received a letter that has a song in it? From Malaysia? please reply  and have a nice day!"
sadness,@EMPSFM I had to work and missed it    Shannon could barely contain herself.  She had an amazingly good time
sadness,"@se7en.up cï¿½m on anh  ko the chiu no~i noi nhï¿½ Tifa roi :-D, thang Cloud danh dam gi mac ke no :&quot;&gt;"
happiness,"@LizzieCoulter oh dear. (I'm sorry, but i laughed  )"
happiness,Finally making some headway in the family room!  Home is finally begining to look like it!  btw dial up can go die!
sadness,has a new nick name - arosh ..i like i like
happiness,Good Monday to all. It's still wet outside but inside I'm sunny  I'm feeling a surge of warmth and energy. This will be a good day!
happiness,"Lovely night, guys. Full moon  thinking about going out onto my roof lol"
sadness,@kixxa I'm somehow totally distracted by that shirt!  I don't even know why.Suddenly he's like the guy next door!
happiness,More pictures! It was such a pretty day  http://tr.im/kWOD #fb
happiness,"@mistressmia had not heard the title or author before, must look it up  Enjoy"
sadness,"Hitting the sack now, fellow Twitterheads...so, where are you treating your Mom today?"
sadness,no class the next two days...but work  everyday from today til next wednesday  so sad
sadness,@RetroRewind dave why why why can't this happen when I'm not working and can listen?! :::whining big time:::
sadness,i'm causing trouble with my partner in crime.
happiness,@marcihearts I will be sending it to you when I get my first check if I make enough lol I have only worked like 8 hours so far
sadness,@Clumsyflic the kid that got a second chance shudnt have. mowgli didnt. gutted
happiness,my phone keeps beeping at me... thanks alan and speeeeeen!
sadness,@juenese i totally felt bad for the guy. haha im good  i miss you guys!
sadness,"I am the empitome of epic fail, just you know, more epic than fail."
happiness,@Sopphue i foot think it will let you since it.s international  but we have twitter haha
sadness,low low low low low low low low low.............................
happiness,@Elliot79 I don't think I can bear such cuteness this early in the day! Kudos to Fair Empress
happiness,best part of that movie was that kirk was a total babe
happiness,@MR_Bill2030 And good morning to you too.
sadness,@MajorSpoilers majorspoilers.com has problems - cannot get the site working
happiness,nice weather today in Alex
sadness,@johnhensel hate u....  I have 2 wait one week to see it cuz here (Puerto Rico) is still coming soon....
happiness,Back in New Mexico again! Happy Mothers day to you mothers out there!
sadness,Omg i'm going to robinson with tyler wfm. And i freakin miss anthony  ugh today kinda sucks. Lex&lt;3
sadness,I lost 15 dollars. I always lose my money
sadness,Eminem 3AM ... Freaking Awsome!!! ... Im Going Back Too... Seams Like Something big is inside me... and no...is not a Alien
happiness,liz just left  aww it was so good to see her.
happiness,Morning everybody
sadness,@grahamcoltonfan hahah me too!! Except for when Haley gets hit by a car  but yay Leyton!
sadness,was an international student today  had sooo much fun at sixflags with friends i don't know well enough!
happiness,@billbergstrom Looks like a great time!  Happy Birthday to the bd girl
sadness,":O Looking through my old stuff and found a record from my old band! Well,a band that I was in for about a month. Ever heard of  ?"
happiness,feelin a bit 'dangerous'. off to watch tha vids  http://bit.ly/9X0Us
sadness,photography class over summer cancelled. going somewhere i dont want to and missing the spring game  and no email from eric swist
sadness,"has a lot to catch up on from the weekend! The BHR hosts have been busy, busy, busy  http://plurk.com/p/rqpl7"
sadness,is in the costume shop cleaning and STARVING. Bring me food???
happiness,@thriftymommy - I enjoyed seeing EVERYONE that presented on Saturday at the Clark Howard event - Especially the 3 pre-clark speakers
happiness,this is my second to last biology and the first time that i have ever been on time. Haha.
sadness,a bird flew into window at my parents house and snapped his poor neck. gotta bury him
happiness,"Good morning!! Gonna clean the house a bit, then maybe clean some more, then do nothing for the rest of the day"
sadness,My net died so yeah....  I'm sad now
sadness,How amazing is hollyoaks! But my poor warren lmao!
sadness,Follow @Mz5thAve cause she really shop there!!! Even though she don't be showin love no more
happiness,@easytouch lets go home
sadness,My friend went to New York without me and all I got was this picture of her and Will Smith  http://twitpic.com/669l2
happiness,Ok that mother fucking duet was hysterical LOL
happiness,"@LeMonjat Hehe, funny (the midget thing) ! Cheer up Alex, and wave from below  Is it that you are in Germany right now? .. or in Spain? ;D"
happiness,there.  She says it gives her an excuse to sleep in the other bed! LOL  They're different sizes or I would have switched them for her.
sadness,I need to relocate to the west coast.. This weather here is killin me!!!
sadness,@QueenBofMakeup I need to do some more post but I don't have time on this tour  ........... Apologies to all my supporters.
sadness,I sometimes feel like the only person in the world without an iphone
sadness,"Finally feels like a nice summer day, and I'm feeling sick"
sadness,"@RainbowAnne  Well, it was a nice thought while it lasted. Maybe he'll leave properly next time *crosses fingers*"
sadness,I feel guilty bc I think it's my fault the hard drive died
happiness,"Back @ home AGAIN .. bathing kids, ironing clothes for hubby .. nephew's graduation tonight! I remember when he was 2!"
sadness,back from lunch and it's pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!
happiness,@themanwhofell compliment taken. Thanks. Key is to be yourself
happiness,@bobbiehouston haha that photo is too funny! I hope he wasn't disturbed by passengers too much during the flight
happiness,@iamchrisc I'm soo jealous right now!!
happiness,@djunity thanks!
sadness,@jaidenkhat sadface
sadness,@chopperdave12 i think im just going to wind up going Home and go to bed
happiness,@rockonrebelchld Happy mother's day to you as well!  Have a good one!
sadness,"needs water, paper towels and coke from the store but feels too sick to go get it"
happiness,@aimeesays aww i hope it does fly by because JT episodes are usually really good (and it's early but so far this ep hassn't disappointed)
happiness,"Up and at em... got a big To Do List for today, and hubby has to work   But then weekend is going to be just us... I think!"
happiness,Reading a book instead of revising. Thinking about lunch. Heart rate is 56 bpm... just in case you wanted to know
happiness,All in all this has so far gone so much better than expected.sure helps to have raised a dog before and i feel im doing things right
happiness,@amhartnett That sounds like fun
happiness,"@StevenSmith1990 Indeed, twitter is where its at mate, its all happening on here.  Enjoy. Hope to see you arou.. http://twurl.nl/j4o1xe"
sadness,"@dave_mueller yes i love it  its just a little bit complicated, because i want it on my BB , but it doesnt work"
happiness,loves it that the first Monday of May is a Bank Holiday!  http://plurk.com/p/roxar
happiness,Beer pong  at 6am  with jess
sadness,mcdonalds mccafe tastes like chewin on a cigarette butt.  I miss my sonic card
happiness,"Heading to the office through a very quiet Stockholm, at least its not sunny"
happiness,Chilling out listning to Seal!!
sadness,"is trying to deny that she's beginning to miss him -- more and more, each and every single day that their apart  ... i need Sprite! HAHA!"
sadness,#myweakness too loving ...i always let negative people into my life
sadness,@Santiaggo that New Yorker cover was done on a iPhone &amp; I'm jealous that I do not have one!  http://myloc.me/21a4
sadness,@stephenjerzak awww i didnt pass my speech
happiness,@borgintraining I saw it and I liked it  Not bad :]
happiness,@dreamobscene I know how you feel  Have a lovely relaxing weekend!
sadness,@megs775 I'm sorry Megan!!!    I'm sure he will find something quick.
happiness,"@myucan91 wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke"
sadness,"@KatieKilljoy I wanna play with you tonight  *pout, pout side face*"
sadness,My tummy hurts...
sadness,@fudgecrumpet ok i believe you.but i have a belly button.lol
sadness,I dont want to be ugly anymore
sadness,First sports banquet without katie
sadness,@ThatKadyGirl every day of my life lately.    i feel ya girl &lt;3
happiness,It's soupy-soup time. Today: Heinz Cream of Chicken and Mushroom - yum! bbl
sadness,@Dtballa2322 I want to Forgive and Forget this! Please and I dont like him I promise I am going to live without drama for now!So Please
sadness,Only have 80  followers... So sad.
happiness,"@skingirl69 yeah, i'm so excited."
happiness,@iamchrisc haha  cute. ps thanks for the reply made my day haha
happiness,ok.  i got my nails done to day an the are sweet.
happiness,"@jen004 Nope, not &quot;done&quot; yet"
happiness,@Pamluther I'd like to put your fruity article on my website if you'll permit
happiness,"what up world im just chillin, bout to go get this money!! But in this economy no money is easy money anymore"
sadness,boys and girls lie? awww is santa not real either?
happiness,Time for bed!  Hope your saturday was as lovely as mine was...
sadness,@singpolyma aaaaaaaahhhhhhhh I hate the Internet  When will people learn &quot;native widgets are always best&quot;
happiness,I forgot I have lumpia and pancit in my fridge from last night! Yay
sadness,"trying to straighten my hair, but it's too effing hot in here. also, i need food"
sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
sadness,is a failure
sadness,at work and it sucks big time
happiness,@Spitphyre well good luck with #twpp in an hours time i think i will be on my way home  have fun!
sadness,"@theemptynest  I've had that before...sometimes, they turn into other things; felt is very forgiving. Remould? Cut up and re-form?"
sadness,misses my baby.
happiness,"@cassapel Damn, I got all excited for nothing  hahaha"
sadness,@jennwadsworth So sad that schools have to close.
happiness,"Done... with the #run : 14.5km / 1h33mn / 153bpm . Feeling great, no fatigue... and no speed"
happiness,Haha. Lacey just shutdown the livestream. Party time
sadness,So effing tired  http://bit.ly/e0ZFz
happiness,"@traceyctt I live for pain, bring it on"
sadness,"@rawr_333 Yeah.    I couldn't call my Dad, Mom, or brother either.  Mom = On the phone.  Dad = Phone card expired.  Brother = At work."
sadness,its taking foreverrr for @jess_0000 to get here  im bored..
happiness,"1.2 mile run and 450 meter swim, things are looking better and better... Laying off the bike today"
sadness,is becoming edgy bcause the lappy has not arrive yet
sadness,I want to go home!!
sadness,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
happiness,"Oh yeah, Radio1 is SO playing Earth, Wind and Fire"
sadness,"@SaschaIllyvich i guess that means you didn't beta-read either of my stories, huh?"
sadness,The Good: I drank Jager and licked a hot asian girl's foot. The Bad: I was reminded once again that I will never get asian girls ever.
sadness,OOUCHHHH I just pinched my own nipple by accident trying to fix my top
sadness,@Seoulbeats romance zero is funny
happiness,starting off my day with a little Northern Light
happiness,@jeg007jeg yay  coutch:couch
happiness,Star trek was SOOOOO AWESOME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Spock and Kirk were hillarious!!!  Im seeing it again. sooon.
happiness,@theDebbyRyan Just left you a message! Hope you get it
sadness,Is now crying  Omg I am fed up with this pain !!!
sadness,"TGIF, too bad the weather sucks..."
happiness,@Hatz94Music We got a guy in the chat now lol.
happiness,@MollieOfficial congrats mollie! just wish i could have got some tickets
happiness,Bit of soul time 4 this mama  will visialize next living environent. Speak soon.
happiness,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best
sadness,"well,only one week left of my holidays,sad sad"
happiness,For those of us who's hearts break a little more this time of year know that you are loved and next week is a new week.
happiness,i'm glad we did a good job
sadness,in science class right now... urgh... stupid project.. don't wanna go to track after school! too tired!  lol
sadness,"@jpsherman That's true. Unfortunately, the leads in the movies don't die on such a high note. It's more the Friday The 13th model"
sadness,Im so tired and sick  i have to be better on Sunday so i can sing morning and night
sadness,Holidays are now over - not fair!!
happiness,@FakerParis A little tired but gland its bank holiday here so i can have a lie in
happiness,@isabellacane Thanks! I was gonna make a joke and say they look just like mine!
happiness,"Ha, sure  hey, text me normal. 512 718 4879"
happiness,@parislisbonne I'm glad you liked it   Want more?
sadness,my head huwwts
happiness,@DinoLich I know! But I still want to see it
happiness,"Happy Monday, Twishers!!  Passing the coffee..."
sadness,@twisty7867 i'm using paint.net x64 and it's running crazily fast - can't afford CS4 unfortunately... yet
sadness,Stuck in some shitty traffic! This day is going to be crap
happiness,"@BoomKatt yes yes I AM, networking whore to the fullest.......and this girl is rih next to me"
sadness,@NileyLover09 well i`m a little bit sick but i`m fine
happiness,@lilazngangsta have a awesome day at school!!!
happiness,sadly awake. wondering about contact info for all of the fun folks I hung out with at the shop. YAY 23b!!! Miss you guys
happiness,Happy to see Kurt spin.
happiness,@sammihouse  awww lol yh it is worth it-  mcfly are worth it 2  eekk
happiness,@AnnaDiFilippo have fun without me pasty  &lt;33
sadness,@natsolovelyx3: I knowww yur mother is being a bitch and she doesn't want to take me to the movies  bitch
happiness,Happy imma get to see some lovely ladies
happiness,whoa. that was some showering session
happiness,Last day of college today!
happiness,Saturday is Partytiiime
happiness,Managed to find a bottle of Pimm's! If only we had the weather to go with it
sadness,"@verbs_n_nouns ikr? my parents take the cake tho, they don't grocery shop and they go out to eat all the time just them 2..."
sadness,"@SoccerGameBall i use to breathe soccer, live soccer.until i hurt my knee badly  sad day that was.pass my link around?"
sadness,had a good day but im now skint again
sadness,at last i wr0te again....got bored the previous dayss....
sadness,Of course it rains five minutes after i finish watering the flowers. It took me half an hour to water all of them too.
sadness,@Rorzshach Oh no  -hugs-
happiness,@rissiapriyahita @zanidia @clarixxxa thanks udah di follow
sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
happiness,"ok guys, have to turn this Laptop off to pack.   tweet u guys on the road! bbl......"
happiness,love it when jonas brothers are in the trending topics. maybe taylors turn next
happiness,@himynameisryan let me know how it goes babe  good luck!
happiness,Migrating a Sybase ASE SPARC Sun Solaris based into a Solaris x86 based. That should be fun
happiness,"Yes, he's really back!: I couldn't wait for this day to arrive and finally it's here! Gale is back!!!  I'm pos.. http://tinyurl.com/dzzaf5"
sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
happiness,loven the rs ftw pvp is bac
sadness,@sbcvandy OMG! I KNOW!  I give myself a stroke everytime I go getting mad at them. (Quietly with the windows rolled up.    )
sadness,"Broke Up with girlfriend, FEELING Very lonely and heartbroken  Sad times guys (N)"
sadness,Wishes she had a pool
sadness,@iamlittleboots all my recording eqpmnts out. a full day 2 myself and minds gone blank. outfit for G-A-Y still nt arrived eitha
happiness,@fedgrub  dull life was on the soundtrack of one of my favourite showss
sadness,@SuprnaturlShana but he looks so much better with short hair
sadness,Truck full of silver bars imploded on itself.  Delayed us an hour and we didn't  even get a bar for our troubles.  No photo
sadness,I just lost my favorite pen  good thing I have a back up =D
happiness,"@xstaylor LOL!  Considering the recent debate on DL, I'm not touching the bad boy thing.  I like the logical ones."
happiness,@Mrjaydeeone thanks for the add  I'll try again signing in later when I get home. If still no such luck then I'll email someone
happiness,@SharktailYPP The red font up the top is very nice. But where did they put all the old entries?
happiness,After work....Hillcats game!   .25 cent hot dogs haha
sadness,this sucks schools over and there is nothing to do
sadness,Can I get tonight's SYTYCD online anywhere...streamed like Hulu or paid like iTunes. I missed my favorite judge and now I can't sleep.
sadness,Hates leaving teddy ... Now I'm miss both my boys  damn
sadness,I fucking love Alexander William Gaskarth
happiness,@vene2ia Great!
sadness,ooh i feel so sleepy... its 10:24 a.m. and i dont wanna go to school 2day  but i have to...
happiness,@lifeincyan Aren't randoms what it's about?!!!  I LOVE that it's Star Wars day - I didn't realise and I can't believe it's almost over!
sadness,@sunilsebastian I still have a lot of time on my stupid contract...  18 months before I can change providers
happiness,@lovelybookie_ yaaaay mish is following gab!
sadness,about to hit the sheets.
happiness,@baggers haha yeah it was
sadness,I'm at my saddest right now. I lost my mobile phone earphones. Waz feels a little incomplete and I feel the same
happiness,"@susannaheanes bwaha! It's so far away, though.  But it looks fluffy! And Jared's hair's SHINNNY."
happiness,@echoinghim it was my pleasure playing guitar for you!  So fun
happiness,Hangin out with some cool ass people.  http://short.to/8j3p
happiness,@jtimberlake Hey I saw SNL 2nite&amp;I loved it!! especially the crumpin' tit-boob scene  &quot;crumpin'34 dub&quot; wow hilarious
happiness,@ borgellaj  you know what? They're YOUR CATS
happiness,"having a great time on vacation, sure as heck don't want to go to work on tues."
happiness,"@realchrissystar we'll be back sunday to play @ the horse, I was out last night at mex you were not  miss you"
sadness,poor bretty.  but yay phils
sadness,Bitter sweet moment... Want to leave but have nothing to go home to...
sadness,"mmm - home-made pizza (that I helped to make), a home-made cheesecake (to eat soon) &amp; family... a nice day for mother &amp; nanna"
sadness,how sad was Hollyoaks
happiness,Enjoyed x-men w/ @dwestbrook  now it's time to rest up for this drive home...happy mother's day twit-moms!!!
sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
happiness,@great_northern http://twitpic.com/4wiqv - Awwww she looks like one of my kitty  little furry balls are the best!
happiness,"@Joannah11 I've had @hempware for a while now, just in case. And yeah, I start work there again tomorrow. Very excited"
happiness,"Thanks everyone. Unfortunately nothing can be done. The sales speak for themselves, and if that doesn't convince Diamond, nothing will."
sadness,@Kalediscope Girl *cries* I'm allergic to seafood
happiness,"@BD_illustrated Me Too! Its hard to argue w/ him 'cause he makes some great points, i just can't wrap my heart around that one"
sadness,@vosdjs LOL yea the fondue is on point... but that Chocolate Lava Cake is what you really want...but I wont be here   Im Mon-Fri babes!
sadness,"says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5"
happiness,Clive it's my birthday pat me  http://apps.facebook.com/dogbook/profile/view/6386106
sadness,"@RavenLaR S'ok, trying to plot alternatives as we speak *sigh*"
